,n0,n1,n2,n3,n0_r,n1_r,n2_r,n3_r,period,mouse_id,baseline_stability,classes
27,4,254,38,38,,76.96969697,11.51515152,11.51515152,pre,91_1,0.335,"[1 1 1 1 1 1 3 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 3 2 1 1
 1 2 1 1 2 2 1 1 1 1 1 1 1 1 2 1 1 1 2 1 3 2 2 1 2 1 3 1 1 1 2 1 1 1 1 1 1
 1 2 1 3 1 3 3 1 3 3 3 3 3 1 1 1 1 2 3 1 1 1 1 1 1 1 3 1 1 2 1 1 1 1 1 1 1
 2 2 1 1 2 3 1 1 1 1 3 1 1 1 1 1 2 1 1 1 1 1 2 1 1 1 1 2 1 1 1 1 1 2 3 1 1
 1 1 1 2 2 3 2 3 1 3 1 1 1 1 1 1 2 2 1 1 3 1 1 1 1 3 1 3 1 1 1 3 1 1 1 1 3
 3 1 3 1 1 3 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 3 1 2 3 1 3 2 2 2 1 1 2 1
 1 1 1 2 1 3 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1
 1 3 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 3 3 3 3 1 1 1 2 1 1 1 1 1 1 1 2 1
 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1]"
28,36,261,4,33,,87.58389262,1.342281879,11.0738255,early,91_1,0.335,"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 3 1 1 1 1
 1 1 1 1 1 1 3 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 0 1 0 1 1 1 1 3 1 1 1 0 1 1
 1 1 1 1 1 1 1 1 3 3 1 1 1 1 1 1 1 1 3 3 1 1 3 1 1 0 3 1 3 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 2 3 1 3
 1 1 1 3 3 3 1 3 1 1 2 1 1 1 1 1 0 3 1 1 1 1 3 3 1 1 1 0 1 1 1 1 1 1 1 1 1
 1 0 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 3 1 1 1 1 1 3 3 1 1 3 1 1 1 0 1 1 1 1 1
 0 1 1 1 1 3 1 1 1 0 1 3 1 0 1 1 3 1 1 3 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 3 0
 1 3 1 1 1 1 1 0 1 1 1 0 1 1 1 3 3 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 2 1
 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 0 0 0 1 0 1 1 1 1 0 1 0 0 0 0 0 0 1 1 0 0
 1]"
29,7,242,21,64,,74.00611621,6.422018349,19.57186544,late,91_1,0.335,"[1 1 1 1 1 1 2 1 1 1 2 1 1 1 1 1 1 3 1 1 1 1 1 3 1 3 1 1 1 3 1 1 1 3 2 3 1
 1 2 1 1 1 1 3 1 1 1 1 1 3 3 2 1 3 1 1 1 2 1 1 1 1 1 1 1 1 1 3 3 1 1 1 1 1
 1 3 1 2 2 3 1 3 3 3 1 3 1 1 1 1 1 1 3 3 3 1 1 0 1 1 1 1 1 3 3 1 1 1 0 3 1
 3 1 1 3 1 1 2 1 1 1 3 2 1 1 1 1 2 1 1 1 1 3 1 1 3 1 1 3 3 1 1 1 1 3 1 3 1
 3 1 3 3 3 3 1 1 1 2 3 1 1 1 1 1 1 1 1 1 1 3 1 2 1 3 1 1 1 1 1 3 1 3 3 1 3
 3 1 3 1 1 3 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 3 3 1 1 2 1 1 3 2 3 1 3 3
 1 1 1 1 2 3 1 1 1 1 1 1 1 1 1 1 3 1 3 1 1 1 1 3 1 1 1 1 3 1 1 0 1 1 1 3 1
 1 2 1 1 1 1 1 1 1 3 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 3 3 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 0 0 2 1 1 1 3
 1]"
30,8,311,39,39,,79.94858612,10.02570694,10.02570694,pre,93_1,0.2304,"[3 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 1 2
 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 3 2 1 3 0 3 3 1 1 1 1 1 1 1 1 2 1
 1 1 1 1 2 1 1 1 1 1 1 0 1 2 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 1 1 1 3 2
 0 2 1 1 3 1 2 2 1 1 1 1 1 1 2 1 1 1 3 3 3 2 1 3 1 1 1 1 3 1 1 1 2 1 1 1 2
 1 1 1 1 1 1 1 2 3 1 1 2 1 1 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 3 2 3 1 2 1 1 1 0 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 3 1 3 1 2 1 3 1 1 2 1 1 1 1 3 1 1 1 1
 1 1 2 1 1 1 1 2 2 1 1 1 1 3 3 2 1 3 2 3 3 1 1 1 3 1 1 1 2 3 1 1 1 1 1 3 1
 1 1 1 1 3 1 2 3 2 1 3 1 1 3 1 1 1 1 1 1 2 1 1 1 2 1 2 1 2 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 3 1
 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0]"
31,24,271,51,51,,72.6541555,13.67292225,13.67292225,early,93_1,0.2304,"[3 1 2 1 1 1 1 0 2 2 1 0 1 0 2 1 2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1
 1 0 3 1 1 2 1 2 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 3 1 2 1 1 1 1 1 1 1 1 1
 1 1 1 3 3 1 1 1 2 1 1 3 3 1 1 1 1 1 0 1 1 1 1 2 1 1 1 3 1 1 1 1 1 1 1 1 3
 2 1 1 1 3 1 3 1 1 1 0 1 1 3 1 1 1 3 3 3 1 2 2 2 1 2 3 1 3 1 1 1 2 1 1 2 1
 1 1 1 1 3 1 2 2 1 1 2 1 1 1 1 2 1 1 1 0 3 1 1 1 2 1 1 1 1 2 3 1 3 1 1 0 1
 2 1 2 1 2 2 1 1 3 1 2 3 1 1 1 1 1 1 1 3 1 1 1 1 1 1 3 1 1 1 1 2 2 1 1 1 2
 1 1 1 1 1 1 1 2 1 1 2 1 1 1 1 3 0 1 3 1 1 3 1 0 1 1 1 1 1 1 1 1 1 1 2 1 1
 2 3 1 1 3 1 1 1 3 2 1 1 1 3 1 1 1 2 1 3 3 1 1 2 3 3 1 1 1 1 1 3 2 1 1 1 1
 1 1 1 1 1 2 1 1 1 1 0 1 2 2 1 1 2 1 1 3 2 1 2 1 1 1 1 1 3 1 1 2 3 1 1 1 1
 1 3 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 3 1 1 1 1 1 3 1 1 1 1 1 3 3
 3 3 0 3 0 2 1 1 0 1 0 0 0 3 1 1 1 0 3 1 1 2 2 1 0 0 1]"
32,16,260,56,65,,68.24146982,14.69816273,17.06036745,late,93_1,0.2304,"[3 1 1 1 3 2 2 1 1 2 3 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 2
 2 0 0 1 1 1 1 1 1 1 1 1 3 0 1 1 1 1 2 1 1 3 2 3 0 2 1 1 1 1 1 1 2 2 1 3 1
 1 0 3 1 3 1 1 1 2 1 1 3 3 3 1 1 1 2 1 1 1 2 1 1 1 1 1 3 3 1 1 1 1 1 2 1 1
 2 1 1 1 1 2 1 2 1 1 1 1 2 3 1 2 1 2 3 1 3 1 1 3 3 1 3 0 1 1 1 2 1 1 1 1 1
 1 1 1 2 1 1 1 2 1 1 3 2 1 3 1 1 1 3 3 1 1 3 3 1 3 3 1 2 1 1 3 1 3 1 2 0 3
 2 1 2 3 2 1 1 1 1 1 1 3 1 2 1 1 1 1 0 1 1 1 1 3 1 1 1 1 1 2 1 1 1 1 1 1 3
 1 1 1 1 1 1 1 1 3 1 2 1 1 1 1 0 0 1 3 1 2 1 1 1 3 1 1 2 1 2 1 1 2 1 1 1 3
 3 3 2 2 3 3 1 1 3 2 1 2 2 3 3 2 2 3 1 1 3 1 1 1 2 2 1 1 1 1 1 1 3 1 1 1 2
 1 1 1 2 1 3 1 2 2 3 3 1 2 1 2 1 1 2 1 1 1 1 3 1 3 1 2 1 1 1 1 1 1 1 3 1 3
 1 3 1 1 1 1 0 1 3 1 1 1 1 1 1 1 1 1 1 3 1 1 3 1 3 1 1 3 1 3 1 1 1 2 1 1 1
 1 3 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 0 1 2 1 0 0]"
33,15,184,76,75,,54.92537313,22.68656716,22.3880597,pre,95_1,0.3445,"[1 1 2 1 3 1 2 1 2 3 1 1 1 1 1 2 2 3 1 1 3 1 1 1 1 1 1 3 3 2 3 1 2 1 2 1 1
 1 1 1 3 1 2 1 2 1 2 1 1 1 1 2 1 3 3 2 1 1 3 1 3 1 1 1 1 2 1 1 1 2 3 1 2 1
 3 3 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 3 1 3 2 1 2 1 2 1 2 3 1 1 1 3 1 1 1 2 1
 1 2 1 1 3 2 1 1 3 1 3 3 1 1 1 3 1 1 1 0 1 3 3 1 2 3 2 2 1 2 1 2 3 2 1 1 3
 3 3 3 2 1 1 3 3 3 2 2 1 2 1 1 1 1 3 1 1 3 1 2 1 3 1 1 3 1 3 2 2 3 1 3 2 1
 1 1 1 3 1 1 3 1 3 1 2 2 2 1 2 3 2 1 1 3 3 3 3 1 1 1 2 1 1 2 1 1 1 3 1 2 1
 1 2 2 1 2 1 1 1 3 3 1 1 1 1 3 1 1 2 2 1 3 2 3 1 1 1 2 1 2 1 1 1 1 1 1 3 3
 1 2 0 1 2 0 1 1 1 1 1 1 1 1 2 1 3 1 1 3 1 1 2 3 3 1 2 1 1 3 3 3 1 2 1 2 1
 2 1 3 2 3 1 3 1 1 2 2 1 1 3 2 2 2 3 1 3 2 1 1 2 2 1 1 2 2 2 1 1 2 3 1 2 3
 3 3 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0]"
34,43,191,32,84,,62.21498371,10.42345277,27.36156352,early,95_1,0.3445,"[2 1 1 0 1 0 1 1 3 3 1 2 3 1 1 3 1 1 2 1 0 0 1 1 1 1 1 3 1 3 0 1 1 3 3 1 1
 3 1 1 3 3 0 1 1 1 1 0 1 1 1 1 1 3 0 2 1 1 1 0 1 1 2 1 1 2 1 1 3 1 1 1 3 1
 3 2 1 2 1 3 2 1 3 1 3 1 1 1 1 1 1 1 1 3 3 1 1 3 3 2 3 3 1 1 1 1 1 1 1 1 1
 1 3 3 1 3 1 1 2 0 3 1 3 1 1 1 1 1 2 1 3 3 0 3 1 3 3 2 3 1 1 3 3 1 3 1 1 2
 3 1 1 3 2 1 3 1 3 2 1 3 2 1 1 1 1 3 1 3 1 1 3 1 3 2 1 1 1 3 1 1 3 1 0 3 1
 0 3 1 1 1 1 3 2 3 3 1 1 0 2 3 3 2 1 1 1 3 3 2 0 1 1 3 2 2 1 1 1 2 3 1 0 1
 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 3 1 3 3 3 3 1 2 1 1 0 0 2 3 1 1 1 1 0
 1 0 3 1 3 0 3 2 3 1 1 1 1 1 1 1 1 1 0 1 1 2 1 1 3 3 1 2 1 0 3 3 0 1 1 1 1
 3 1 1 1 0 2 0 1 0 1 1 1 0 1 1 3 1 3 1 0 3 3 1 1 3 1 1 0 1 1 0 1 0 0 0 1 3
 1 0 2 3 3 1 1 0 0 1 0 3 0 0 1 0 0]"
35,11,147,37,155,,43.36283186,10.91445428,45.72271386,late,95_1,0.3445,"[3 1 1 1 2 1 2 1 3 3 3 1 3 3 1 3 3 2 1 1 3 1 1 1 1 1 1 3 2 3 1 1 3 1 3 3 1
 1 3 2 3 3 1 3 3 3 1 1 1 1 3 1 3 3 1 3 3 3 3 3 3 2 1 1 2 1 2 0 1 1 3 3 3 2
 3 3 1 2 1 1 2 1 3 1 2 2 1 3 1 1 3 3 1 3 3 0 1 3 3 1 3 3 2 2 1 1 1 2 1 1 0
 1 3 3 1 3 1 1 3 0 3 1 3 1 3 1 2 3 1 1 3 0 0 3 1 3 3 2 3 3 1 3 3 2 3 3 1 2
 3 3 3 3 1 3 1 2 3 3 1 3 3 3 1 3 1 3 2 1 2 1 2 1 1 3 3 3 1 3 3 3 3 1 3 2 1
 1 2 1 3 1 1 3 1 3 3 2 1 1 3 3 3 1 1 1 3 3 3 3 1 1 3 3 3 1 2 1 1 3 3 1 3 1
 1 2 1 1 2 0 1 2 3 3 1 1 3 2 1 2 3 1 2 1 3 3 3 3 1 1 1 1 3 0 3 3 3 3 1 1 3
 1 1 3 3 3 3 3 3 1 1 1 3 1 3 3 1 1 2 1 3 1 1 1 1 3 3 3 3 1 3 3 3 1 3 1 1 1
 3 3 3 1 3 1 1 1 0 1 1 1 1 1 2 3 1 3 1 3 3 1 3 3 1 1 2 3 1 3 0 1 3 3 1 1 1
 1 3 3 3 3 3 1 1 3 1 3 3 3 3 1 0 1]"
36,21,145,75,75,,49.15254237,25.42372881,25.42372881,pre,108_1,0.1755,"[1 3 1 2 2 2 1 1 1 2 1 1 1 2 1 2 2 1 1 3 2 3 0 2 1 1 2 1 1 1 1 2 2 3 1 1 3
 1 2 2 1 2 1 3 2 1 2 3 2 2 2 1 3 3 1 1 2 1 2 3 0 1 2 1 2 1 3 1 2 3 3 2 2 2
 3 1 3 1 1 0 1 1 3 1 1 2 2 3 1 2 1 3 2 2 3 2 1 1 2 1 3 1 2 1 1 3 3 1 1 3 3
 1 2 1 1 1 1 2 2 1 3 1 3 3 3 3 1 0 3 2 2 1 1 2 2 1 1 1 1 1 1 1 1 1 2 2 2 3
 2 1 2 1 1 1 1 2 2 1 0 3 1 1 3 2 1 1 1 1 1 2 3 1 1 1 1 3 3 1 2 1 1 2 3 2 2
 2 1 3 3 1 2 1 3 1 2 3 2 1 3 1 2 1 3 1 3 3 3 1 1 1 1 1 3 1 1 1 1 2 2 3 3 1
 2 1 3 2 1 1 2 2 3 1 1 1 1 2 3 3 3 2 3 3 3 2 0 0 1 1 1 3 1 2 2 1 1 3 3 1 0
 3 1 3 3 1 1 2 3 3 2 3 3 3 0 1 1 1 3 3 1 1 1 3 1 1 1 3 1 1 1 1 3 2 3 1 1 3
 0 1 0 0 1 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0]"
37,59,158,19,80,,61.47859922,7.392996109,31.12840467,early,108_1,0.1755,"[1 3 3 3 3 1 1 1 1 3 1 3 3 2 1 1 0 1 1 1 3 1 0 3 1 1 1 1 3 2 1 3 1 3 1 1 1
 1 1 1 3 3 3 1 1 3 1 0 3 3 1 2 3 0 1 0 1 1 1 1 1 1 1 0 1 1 1 1 3 1 3 1 3 1
 3 1 1 0 0 1 1 3 2 1 1 1 1 0 1 3 1 0 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 3 1 3 3
 0 1 2 1 0 1 1 1 3 0 1 1 0 1 1 1 1 0 2 0 3 1 0 1 2 1 1 0 1 1 3 1 1 3 2 0 1
 1 3 1 1 3 1 1 1 1 1 1 1 1 1 0 1 3 1 1 1 2 1 1 3 1 1 1 1 0 3 1 1 3 3 1 1 2
 1 1 3 3 1 1 1 3 1 1 1 1 0 3 1 1 3 3 0 1 1 1 1 3 1 2 1 2 3 3 1 1 0 1 1 3 1
 3 3 3 2 0 3 1 3 0 0 1 3 1 0 3 3 3 1 0 0 0 3 0 0 1 1 1 0 0 1 3 3 0 0 3 3 1
 0 3 0 3 3 1 1 2 1 3 3 0 1 1 1 1 3 0 0 0 0 1 3 2 3 2 3 3 3 1 0 0 1 1 0 2 3
 2 1 3 0 3 3 3 1 0 0 0 1 0 0 3 0 0 2 0 0]"
38,7,127,71,111,,41.10032362,22.97734628,35.9223301,late,108_1,0.1755,"[1 3 2 3 1 1 1 1 1 1 2 3 1 1 1 3 1 1 1 3 3 1 3 1 1 1 1 2 1 2 3 1 2 3 1 1 2
 3 1 1 3 3 3 2 1 1 2 2 1 2 3 1 3 1 3 1 2 3 1 3 3 3 1 0 2 1 3 1 1 1 3 3 2 2
 3 1 3 2 2 3 2 1 2 2 1 3 1 3 1 2 1 3 3 3 2 3 3 1 3 1 1 2 2 1 1 3 3 2 3 1 3
 3 3 2 1 1 1 1 2 3 2 3 3 3 2 1 3 3 2 2 2 1 2 1 1 3 3 1 1 1 1 3 1 3 1 3 1 1
 1 0 3 1 2 2 1 1 3 3 3 3 2 2 1 2 3 1 1 2 2 1 3 2 3 2 1 3 2 1 3 2 3 1 3 3 1
 3 1 3 1 1 3 1 3 1 1 3 3 1 3 2 2 2 2 2 1 2 3 3 1 1 1 1 3 2 3 1 2 1 1 1 3 3
 3 3 2 1 1 1 2 1 1 2 2 1 3 2 3 3 2 3 0 3 1 3 2 2 2 2 2 2 1 3 3 1 0 3 3 1 1
 3 0 2 3 1 0 1 3 3 3 2 3 1 1 3 1 1 1 3 1 2 3 3 1 3 2 1 3 1 3 2 3 1 1 1 3 3
 3 3 1 1 1 3 3 2 1 2 2 3 3 1 0 1 1 1 1 1]"
39,2,150,33,33,,69.44444444,15.27777778,15.27777778,pre,110_1,0.3019,"[1 1 1 1 1 1 3 1 1 1 2 2 3 3 1 2 2 1 1 1 1 1 3 1 3 1 1 1 1 2 1 2 1 1 3 2 1
 3 1 3 1 1 2 1 2 3 1 3 2 2 1 1 1 1 1 3 1 1 2 2 1 1 1 1 2 1 1 1 3 1 1 1 1 3
 1 1 1 3 1 1 1 3 1 2 1 2 2 1 1 1 2 2 1 3 0 1 1 1 1 1 1 2 1 3 1 1 1 1 3 1 1
 1 2 2 1 1 1 1 1 1 3 2 1 3 1 3 3 2 1 1 3 1 3 1 3 1 1 1 2 1 3 1 1 1 1 2 1 3
 3 1 1 2 2 1 1 1 3 1 1 1 1 2 1 1 2 3 2 3 1 1 1 1 3 1 1 1 1 2 1 1 1 1 1 1 1
 1 2 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0]"
40,20,179,15,4,,90.4040404,7.575757576,2.02020202,early,110_1,0.3019,"[1 2 1 1 1 1 3 0 1 1 1 3 1 0 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 2 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 0 1 2 1 1 1 1 1 1 2 1 1 1 1 3 1 1
 1 1 1 1 1 1 2 1 1 2 1 1 1 1 1 2 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1
 1 1 2 2 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 2 1 1 0 1 1 1 1 1 1 0 2 1 1 1 1
 1 2 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1
 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 0 1 0 1 0 0 1 1 0 1 1 1 1 0 1 1 0]"
41,5,156,29,28,,73.23943662,13.61502347,13.14553991,late,110_1,0.3019,"[1 1 3 1 1 1 1 1 1 1 2 3 2 1 1 3 3 1 1 1 1 1 3 1 1 1 2 3 1 3 1 1 1 1 3 1 1
 2 1 3 2 1 1 1 1 3 2 3 1 1 3 1 1 1 1 1 1 1 1 2 1 1 1 1 1 3 1 1 3 1 3 1 1 2
 3 2 1 1 2 2 1 2 1 2 1 1 3 2 1 1 2 1 2 1 3 1 3 1 2 1 1 1 1 1 1 3 3 2 1 1 1
 1 1 2 1 1 1 1 1 1 1 2 1 3 1 1 1 1 2 1 1 1 1 1 3 1 1 1 1 1 1 2 1 1 1 1 1 2
 3 1 1 1 1 1 2 1 1 2 1 1 1 1 1 1 2 3 1 1 1 3 1 1 1 1 1 3 1 0 1 1 1 3 1 0 1
 2 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 0 1 0 1 1 1 1 2 1 1 1 1 1 0 1 1 1]"
42,19,86,48,48,,47.25274725,26.37362637,26.37362637,pre,111_1,0.1927,"[2 2 3 3 2 1 1 3 1 2 3 3 2 1 1 3 3 2 1 0 1 3 1 1 0 2 1 3 3 3 1 3 0 1 1 1 1
 2 1 3 1 1 2 2 3 1 3 2 3 3 1 2 1 2 1 2 2 1 2 1 3 1 1 2 3 2 1 3 1 3 3 3 1 3
 2 2 3 3 1 2 3 2 2 1 3 1 1 2 1 2 1 2 3 1 1 1 1 3 1 2 1 2 1 3 1 2 3 1 2 2 2
 3 1 1 3 3 1 1 3 2 1 1 1 3 2 2 1 1 3 3 1 1 3 3 1 2 2 3 1 2 1 3 1 1 2 1 1 1
 1 2 1 3 3 1 1 1 2 1 3 2 1 1 2 2 2 1 1 1 1 2 3 2 2 3 1 1 1 0 0 0 1 0 1 1 1
 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 1]"
43,21,122,7,51,,67.77777778,3.888888889,28.33333333,early,111_1,0.1927,"[0 3 0 2 3 1 1 3 1 1 3 3 3 1 1 3 1 1 1 3 1 3 1 1 3 3 0 3 3 1 0 1 1 1 1 1 0
 3 1 1 1 1 1 3 3 1 1 1 3 1 1 3 0 3 1 0 1 2 3 1 1 1 3 1 3 3 1 3 2 1 3 1 2 1
 1 1 1 1 1 1 3 1 3 1 1 1 3 3 1 1 1 1 1 0 1 1 1 3 0 3 1 1 1 3 1 1 3 3 3 1 1
 1 1 1 3 1 1 1 1 1 1 1 1 3 0 0 1 3 1 2 1 3 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1
 0 3 1 1 3 1 1 1 0 1 3 0 1 1 3 1 1 1 1 1 1 3 3 1 1 1 0 1 1 1 0 3 1 1 1 1 1
 3 0 3 1 2 1 0 1 0 3 1 0 3 3 1 0]"
44,7,92,13,89,,47.42268041,6.701030928,45.87628866,late,111_1,0.1927,"[1 3 1 3 1 3 2 1 1 3 3 3 3 1 1 3 1 1 3 3 1 3 3 1 3 3 1 3 1 2 1 1 3 2 1 1 2
 1 1 3 3 1 3 3 3 1 3 1 3 3 3 3 1 1 1 2 3 1 3 1 3 3 1 3 3 1 1 3 3 1 3 1 3 1
 3 3 1 1 1 3 3 1 3 1 3 1 1 3 1 1 3 3 1 1 1 1 1 3 3 3 1 1 3 3 3 3 3 3 3 3 1
 3 2 3 3 3 1 1 1 3 2 1 3 3 1 3 1 3 3 1 1 1 3 3 1 3 3 1 3 1 1 1 1 1 1 1 3 1
 1 1 1 2 3 0 1 2 0 2 3 3 1 1 3 0 3 1 3 1 1 3 3 3 3 1 2 1 3 1 0 3 1 1 1 1 1
 2 2 3 1 3 1 0 1 1 3 3 0 3 1 1 0]"
45,15,153,91,91,,45.67164179,27.1641791,27.1641791,pre,113_1,0.5799,"[2 1 1 0 1 3 2 2 1 1 1 1 1 1 2 3 2 2 2 1 1 1 2 2 2 1 2 3 1 1 3 3 2 1 1 1 1
 3 0 3 1 1 3 2 3 2 1 1 3 1 1 2 1 2 3 1 1 1 1 1 1 1 3 3 1 1 1 2 2 1 3 2 2 3
 2 1 3 2 2 1 3 1 3 3 3 2 3 3 3 1 2 2 2 1 3 2 2 2 2 2 2 2 3 1 2 3 1 3 1 2 2
 1 1 1 1 3 1 2 1 1 1 2 1 2 3 2 1 1 1 2 1 1 2 1 1 0 1 1 3 1 3 3 2 1 3 1 1 3
 2 2 1 3 1 1 1 1 1 1 3 3 3 3 1 2 1 1 2 1 1 1 1 3 1 2 3 1 2 2 3 3 3 1 3 3 3
 2 3 1 3 1 1 3 1 1 3 2 3 1 1 1 3 1 3 1 3 2 2 3 2 3 1 2 1 2 2 2 1 1 1 2 1 1
 2 2 1 3 1 1 1 3 3 3 2 2 2 2 3 3 1 1 3 3 2 3 0 3 2 2 3 2 1 2 1 1 1 2 1 1 3
 2 3 3 3 1 3 1 1 3 2 1 3 1 1 2 1 3 1 1 2 2 3 3 1 1 1 1 1 3 1 1 3 2 3 2 2 3
 3 3 1 1 1 1 3 2 1 3 1 0 3 2 1 2 2 1 3 1 3 1 1 2 1 1 3 2 1 2 2 2 2 1 3 1 1
 1 1 0 0 0 0 1 0 0 1 0 0 1 0 1 1 0]"
46,89,229,18,14,,87.7394636,6.896551724,5.363984674,early,113_1,0.5799,"[2 0 1 1 0 1 3 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 2 0 0 1 1 1 1
 1 1 2 1 1 1 1 2 1 1 1 1 1 1 1 0 1 1 0 1 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1
 1 0 1 1 1 0 1 1 1 1 3 1 3 1 1 1 1 0 1 1 0 1 1 2 0 1 1 1 3 0 1 1 1 0 1 1 1
 1 2 1 0 1 1 1 0 1 1 1 3 1 1 3 1 1 1 2 0 1 1 1 1 1 1 0 1 1 0 1 0 1 1 1 1 1
 0 3 1 1 0 1 0 1 0 1 1 2 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 2 1 1 1 1 1 1
 3 1 0 2 0 0 0 0 1 1 1 3 1 1 1 1 0 1 1 1 1 1 0 1 1 0 2 0 0 1 1 1 1 0 0 1 1
 1 0 0 1 0 2 1 1 1 1 3 3 1 1 1 0 1 1 1 0 1 0 0 1 1 0 1 1 1 0 1 0 1 1 0 0 1
 0 1 3 2 1 0 0 1 3 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 0 1 2 0 1 1 1 1 0 1 0
 1 1 0 1 0 1 2 0 1 2 1 0 0 1 1 0 1 0 1 1 2 2 1 1 0 0 1 1 1 3 1 1 0 1 1 0 1
 0 1 0 1 1 0 0 0 0 1 0 1 0 0 0 0 0]"
