,n0,n1,n2,n3,n0_r,n1_r,n2_r,n3_r,period,mouse_id,baseline_stability,classes
10,3,276,66,5,,79.5389049,19.02017291,1.44092219,early,69_1,0.3343,"[1 1 1 2 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 2 1 1 1 1 1 2 1 1 1
 1 1 2 1 1 1 1 1 1 2 2 1 1 1 1 2 1 1 2 1 1 2 1 1 1 1 1 1 1 2 2 2 1 2 1 2 1
 1 1 3 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 2 2 1 1 1 1 2 2 2 3 1 1 1 1 1 1
 1 1 1 2 1 1 2 1 1 1 1 1 1 1 2 1 1 1 1 2 1 1 1 1 1 2 2 0 1 2 1 1 1 1 1 1 2
 1 2 1 1 1 2 1 1 1 2 2 2 1 2 1 1 1 1 1 1 2 1 1 1 3 1 1 1 1 1 1 1 2 2 2 1 1
 1 1 1 1 2 1 1 1 1 1 2 2 1 2 1 1 1 1 2 1 2 1 2 1 1 1 1 1 1 2 1 2 1 1 1 1 1
 2 2 2 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 0 1 1 1 1 1 1 1 1 1 1 2 2 1 1
 1 3 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 2 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 1 2 1 1 1 1 2 1 1 1 1 2 1 1 1 1 1 1 1 1
 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1]"
11,12,285,39,14,,84.31952663,11.53846154,4.142011834,late,69_1,0.3343,"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 3 1 3 1 1 1
 1 3 2 1 1 2 1 1 1 1 2 1 1 1 1 1 1 0 1 1 1 1 1 1 2 2 1 1 1 1 1 3 1 1 1 2 1
 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 2 1 2 1 1 1 1 1 1 1 1 1 2
 1 1 1 2 1 1 2 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 2 2 1 3 1 2 1 1 1 1 0 1 1 1 1
 1 1 3 1 2 2 2 1 2 1 2 1 1 1 1 2 1 1 2 1 1 1 2 3 1 1 1 1 1 1 1 1 2 1 2 1 1
 1 1 1 1 1 0 2 1 1 1 2 1 1 1 2 1 3 1 1 1 3 1 1 1 1 2 2 1 1 1 1 1 1 1 1 2 1
 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 3 1 1 3 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1
 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1
 1 3 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 2 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0
 1 1 1 0 1 1 1 1 1 1 0 1 1 0 1 2 1]"
12,1,247,11,11,,91.82156134,4.089219331,4.089219331,pre,83_1,0.2329,"[1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1
 1 1 3 1 1 1 1 1 1 1 1 1 1 2 1 3 1 1 1 2 1 2 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 3 1 1 3 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 2 2 1
 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2
 1 1 1 1 1 1 1 1 3 1 1 2 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1]"
13,14,244,9,3,,95.3125,3.515625,1.171875,early,83_1,0.2329,"[1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 3 1 1 1 1 2 1
 1 1 2 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 3 0 1 1 1 1 1 1 0 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 2 1 1 1 1 1 1 1 1 0 2
 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 2 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 0 0 1 1 0 1]"
14,1,202,31,36,,75.0929368,11.52416357,13.38289963,late,83_1,0.2329,"[1 1 1 1 1 1 1 1 1 2 1 1 2 3 1 3 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 2 2 2
 3 1 1 1 1 1 1 1 1 1 3 1 1 1 1 2 2 1 1 1 3 1 1 3 1 1 1 1 1 1 1 1 1 1 3 2 1
 1 1 1 1 1 3 1 1 1 3 1 2 1 3 1 1 1 1 3 1 1 1 1 3 1 1 1 1 1 1 1 1 3 1 1 3 1
 1 1 2 2 1 3 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 2 1 3 2 1 3 1 1 1 1 1 2
 1 2 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 2 1 1 3 2 1 2 1 1 1 2 3 3 1 1 2 1 2 1 0
 1 3 1 1 1 1 1 1 1 1 1 3 1 1 1 1 3 1 1 2 1 1 2 3 1 3 1 1 1 1 1 1 1 1 1 1 1
 3 2 2 3 1 1 1 1 1 1 1 3 3 1 2 1 1 1 1 1 2 1 1 3 1 2 3 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 3 1 1 3 3]"
15,29,168,27,26,,76.01809955,12.21719457,11.76470588,pre,85_1,0.1061,"[1 1 1 1 1 1 1 1 1 1 1 1 1 3 0 0 1 3 1 1 1 1 1 1 0 3 1 1 1 3 1 3 2 1 1 1 2
 3 1 2 1 2 1 1 2 3 1 2 0 0 1 3 2 1 1 1 2 3 1 1 1 1 1 1 1 1 3 1 1 1 1 1 3 1
 1 3 1 3 3 1 3 1 3 1 1 1 1 1 2 3 1 2 2 0 1 0 1 0 1 1 1 3 2 1 2 1 1 1 2 1 1
 3 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 2 2 1 3 2 2 1 2 1 1 1 1 1 3 1 1 1 2 2
 0 1 1 1 2 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 3 1 2 0 1 1 1 1 1 1 1 2 3 2 1 1
 1 1 3 3 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 3 1 1 1 1 1 1
 1 1 1 1 1 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
16,28,180,28,14,,81.08108108,12.61261261,6.306306306,early,85_1,0.1061,"[1 1 3 1 1 1 1 1 1 1 1 1 1 3 0 3 1 0 2 1 1 1 1 1 1 1 1 2 1 2 1 1 1 1 2 0 1
 1 1 1 1 1 1 1 1 2 1 1 1 3 0 1 1 1 2 1 0 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1
 1 1 1 1 1 1 1 1 3 1 1 1 1 1 0 1 1 1 1 2 1 1 1 1 1 1 1 3 1 1 2 1 3 1 1 1 1
 1 1 3 3 1 1 1 1 2 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 3 1 1 1 1 1 1 1 2 1 1 1
 1 2 2 1 0 1 2 1 2 0 1 1 1 1 1 1 2 2 1 1 1 3 1 1 1 1 2 1 0 2 2 1 2 1 1 1 1
 1 1 1 1 1 1 0 0 0 0 2 1 1 1 1 3 2 1 1 1 0 3 1 1 0 1 1 2 1 1 1 1 0 1 1 2 1
 1 1 2 0 1 0 2 0 0 3 1 0 1 1 1 1 0 1 2 1 1 0 0 0 1 1 1 0]"
17,16,174,17,43,,74.35897436,7.264957265,18.37606838,late,85_1,0.1061,"[1 1 1 1 1 1 1 1 3 1 1 1 1 2 1 3 3 1 1 1 1 3 1 1 1 3 3 2 1 1 1 1 1 1 1 1 2
 0 1 1 3 1 1 1 1 1 1 1 1 1 3 2 1 1 1 1 1 1 1 1 1 1 1 2 1 3 1 1 2 3 1 3 1 1
 0 1 1 1 3 3 1 3 1 1 1 1 1 0 1 1 1 1 1 3 1 1 1 3 1 1 1 3 1 1 3 3 2 1 2 1 3
 3 1 2 1 1 1 1 3 2 0 1 2 3 3 1 1 1 1 1 1 1 1 1 0 1 3 3 1 1 1 1 1 1 0 1 1 1
 0 1 3 1 3 0 1 1 2 1 3 1 1 1 3 1 1 3 3 1 1 0 3 1 1 1 1 3 1 3 2 3 2 3 2 1 1
 1 1 1 1 1 1 1 1 1 1 0 1 1 1 3 1 1 1 1 1 1 1 1 3 0 1 1 1 1 1 1 1 1 2 1 3 1
 1 1 3 1 1 0 1 0 0 1 3 0 1 1 1 3 1 1 1 1 1 2 1 0 1 1 1 1]"
18,8,44,17,17,,56.41025641,21.79487179,21.79487179,pre,86_1,0.2606,"[3 1 2 2 2 1 3 1 1 0 0 3 2 2 3 1 2 0 1 1 1 2 1 3 1 3 1 3 1 1 3 2 2 1 1 1 1
 3 1 1 1 2 3 1 1 1 2 1 1 1 2 1 2 0 1 3 3 1 2 3 2 1 3 1 3 1 2 1 1 1 1 0 3 1
 2 3 1 1 1 1 1 1 1 0 0 0]"
19,13,50,15,8,,68.49315068,20.54794521,10.95890411,early,86_1,0.2606,"[1 1 1 1 1 1 2 1 0 0 1 1 3 1 2 1 1 1 1 2 1 1 2 2 3 1 1 1 1 2 1 2 3 2 1 3 2
 0 1 1 1 1 0 2 1 2 1 1 1 1 1 1 1 1 1 1 3 1 0 3 3 0 1 1 1 0 1 2 1 1 2 1 3 2
 1 1 0 2 0 1 1 0 0 0 1 0]"
20,7,51,5,23,,64.55696203,6.329113924,29.11392405,late,86_1,0.2606,"[1 1 1 3 1 3 3 1 3 3 1 2 2 0 1 3 1 1 1 3 1 1 1 1 3 3 1 3 1 1 3 1 3 2 3 1 1
 1 3 1 2 1 3 2 1 1 3 1 1 1 1 1 1 1 1 3 3 1 1 1 1 1 1 1 3 1 1 1 1 1 3 1 3 1
 1 3 1 1 0 3 1 0 0 0 0 0]"
21,35,147,1,0,,99.32432432,0.675675676,0,pre,89_1,0.5411,"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
22,25,157,1,0,,99.36708861,0.632911392,0,early,89_1,0.5411,"[1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1
 0 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0
 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]"
23,52,121,10,0,,92.36641221,7.633587786,0,late,89_1,0.5411,"[0 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 2 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 2 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 2 1 1
 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1
 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0]"
24,1,128,9,8,,88.27586207,6.206896552,5.517241379,pre,90_1,0.3425,"[1 1 1 3 1 1 1 3 1 2 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1
 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 3 1 1 1
 1 3 1 1 0 2 2 1 1 1 1 1 1 2 1 1 1 1 1 1 3 1 1 1 3 1 1 1 1 1 2 1 1 1 1 1 2
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1]"
25,39,105,2,0,,98.13084112,1.869158879,0,early,90_1,0.3425,"[1 1 1 1 1 0 1 1 1 0 0 1 1 0 1 0 1 1 0 0 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1
 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 0 1 1 0 0 1 1 1 1 1 1
 1 1 1 0 0 0 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 0 1 0 1 1 0 1 1 1 0 1 0 1 2
 0 1 0 1 1 0 1 1 1 1 1 1 0 0 1 1 1 0 1 0 0 1 0 1 1 1 0 0 1 1 1 1 2 1 1]"
26,3,118,0,25,,82.51748252,0,17.48251748,late,90_1,0.3425,"[1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 3 3 1 1 3 1 1 3 1 1 3 1 1 1 1 3 1 1 3 1 1 1
 1 1 1 1 1 1 3 3 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 3 3 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 3 1 3 1 1 1 1 1 1 1 3 1 3 1 1 1 1
 3 1 3 1 1 1 3 1 1 3 1 1 3 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 3 1 3 1 3 1 1]"
