,trial_nb,time,pos,lick,frame,enc,speed,valve
0,0,0.0,-10.0,0,1,0,0.0,0
1,0,0.008,-10.0,0,0,0,0.0,0
2,0,0.016,-10.0,0,0,0,0.0,0
3,0,0.024,-10.0,0,0,0,0.0,0
4,0,0.032,-10.0,0,0,0,0.0,0
5,0,0.04,-10.0,0,1,0,0.0,0
6,0,0.048,-10.0,0,0,0,0.0,0
7,0,0.056,-10.0,0,0,0,0.0,0
8,0,0.064,-10.0,0,0,0,0.0,0
9,0,0.072,-10.0,0,1,0,0.0,0
10,0,0.08,-10.0,0,0,0,0.0,0
11,0,0.088,-10.0,0,0,0,0.0,0
12,0,0.096,-10.0,0,0,0,0.0,0
13,0,0.104,-10.0,0,1,0,0.0,0
14,0,0.112,-10.0,0,0,0,0.0,0
15,0,0.12,-10.0,0,0,0,0.0,0
16,0,0.128,-9.906999588012695,0,0,51,146.44175365575683,0
17,0,0.136,-9.906999588012695,0,1,38,109.11346350821096,0
18,0,0.144,-9.906999588012695,0,0,49,140.6989397869036,0
19,0,0.152,-9.906999588012695,0,0,44,126.34190511477058,0
20,0,0.16,-9.906999588012695,0,0,43,123.47049818034397,0
21,0,0.168,-9.906999588012695,0,1,45,129.21331204919719,0
22,0,0.176,-9.906999588012695,0,0,23,66.0423594918119,0
23,0,0.184,-9.906999588012695,0,0,45,129.21331204919719,0
24,0,0.192,-9.906999588012695,0,0,42,120.59909124591738,0
25,0,0.2,-9.814000129699707,0,1,40,114.85627737706416,0
26,0,0.208,-9.720999717712402,0,0,41,117.72768431149078,0
27,0,0.216,-9.53499984741211,0,0,36,103.37064963935775,0
28,0,0.224,-9.53499984741211,0,0,44,126.34190511477058,0
29,0,0.232,-9.451000213623047,0,0,35,100.49924270493115,0
30,0,0.24,-9.368000030517578,0,1,34,97.62783577050455,0
31,0,0.248,-9.274999618530273,0,0,34,97.62783577050455,0
32,0,0.256,-9.274999618530273,0,0,38,109.11346350821096,0
33,0,0.264,-9.182000160217285,0,0,44,126.34190511477058,0
34,0,0.272,-9.08899974822998,0,1,47,134.9561259180504,0
35,0,0.28,-8.97700023651123,0,0,47,134.9561259180504,0
36,0,0.288,-8.864999771118164,0,0,40,114.85627737706416,0
