,com,perc,snr,r,cnn
76,"(69.71380719145023, 222.94516143459816)",42.3495,6.1634,0.882099,0.999453
77,"(56.465121238958865, 267.8163697830271)",47.5569,16.2818,0.977077,0.98488
78,"(71.23866234533376, 278.4630296340598)",48.2768,14.3648,0.972086,0.999714
79,"(79.44774680768387, 264.6210611585467)",50.1098,16.2414,0.946421,1.0
80,"(63.787828344914224, 270.2224480427785)",49.4465,11.3783,0.933631,0.976398
81,"(74.77123527896019, 254.9077997143537)",45.4548,9.76129,0.812016,0.994322
82,"(72.09597340190439, 272.2851339368678)",48.9024,8.6232,0.750594,0.99996
83,"(62.4668212757332, 286.11188492573837)",47.7584,10.5096,0.872932,0.999514
84,"(61.54325387476825, 277.1338860280605)",47.5571,11.073,0.80389,0.999845
85,"(51.234241551920285, 310.21521836400746)",49.4471,18.2904,0.963884,0.992156
86,"(58.719040577659214, 294.8200772874683)",45.444,14.2658,0.963814,0.997303
87,"(72.06452420506841, 300.28609786434697)",49.221,15.3167,0.959279,0.999766
88,"(59.09147916840067, 317.9136558125047)",49.5266,15.0461,0.928078,1.0
89,"(58.70982455095055, 308.7089884634065)",54.9209,15.7146,0.983913,0.992749
90,"(73.17914410790061, 314.0653746891073)",45.6656,11.1301,0.871018,0.848288
91,"(63.825340463437094, 302.10582055704157)",47.6635,10.3994,0.800723,0.893391
92,"(71.95867082145875, 289.9300786929381)",47.1157,9.24845,0.877198,0.314884
93,"(60.88972655865633, 342.6591553425038)",44.24,27.597,0.971665,0.999999
94,"(72.73852544136622, 346.98768748037145)",44.2501,24.2172,0.970125,0.999989
95,"(74.07669272704901, 357.4058555183601)",42.3863,18.0147,0.931663,1.0
96,"(63.061037472791796, 349.9498807112561)",49.3064,17.7821,0.950718,0.999286
97,"(61.49911850303151, 331.91918216225145)",47.6866,21.3512,0.941012,0.999991
98,"(49.72233527695485, 334.0487380390089)",51.3774,14.4341,0.934271,0.999729
99,"(71.80749885372087, 340.8550464796544)",43.186,11.159,0.868776,0.708462
100,"(65.40756768673411, 379.55529980788117)",42.7812,22.0245,0.955211,0.999998
101,"(75.88886058321854, 379.88155552468965)",48.9956,26.5803,0.941442,0.999998
102,"(61.50459808922749, 373.15281788413483)",47.875,20.2402,0.958558,1.0
103,"(63.221308388652865, 392.67479187218714)",47.4744,18.0294,0.974562,1.0
104,"(75.15358528109672, 396.0645761759453)",45.535,16.8778,0.837128,0.955446
105,"(76.91262132137358, 370.9730432488031)",54.3495,11.3656,0.875558,0.891322
106,"(75.6285585662193, 404.0078182669306)",48.4288,15.8437,0.913035,0.995197
107,"(76.93546512067371, 431.5325324337391)",39.4845,23.6977,0.975397,0.999982
108,"(70.8551861323589, 427.28533264139526)",52.7211,17.0031,0.979604,1.0
109,"(56.14818241630308, 417.4500972488571)",43.4523,14.0509,0.907983,0.989575
110,"(64.79482137968333, 421.56762619686464)",52.7981,15.1447,0.940182,0.999996
111,"(65.27952465332056, 412.67874362493103)",47.5387,8.62338,0.892133,0.959932
112,"(74.79695772249855, 417.4577448510492)",39.9111,8.22954,0.745381,0.697499
113,"(53.96195027853318, 430.5159171886283)",53.1543,7.34819,0.934058,0.992621
114,"(109.10625025581693, 159.95418273563763)",49.2534,7.57039,0.861335,0.999134
115,"(96.2888057015177, 150.24539132803764)",41.2231,5.3419,0.867272,0.952575
116,"(114.70166462739202, 144.5740334151985)",49.9532,4.86631,0.929155,0.999712
117,"(94.05325942860175, 141.10443009614323)",45.7826,4.24223,0.84452,0.975723
118,"(98.35356067035264, 196.1740899420383)",50.0693,10.2741,0.889005,0.999996
119,"(106.47792367322691, 176.3009116789683)",46.7268,9.18134,0.944712,0.99986
120,"(117.03532312039533, 176.29835398166205)",51.0353,9.27525,0.922604,0.999628
121,"(106.2174442283162, 183.09652813974583)",51.0254,12.733,0.936764,0.941451
122,"(96.55628998537749, 173.7872834159124)",51.2527,7.56525,0.875709,0.22979
123,"(117.44561143940525, 184.8784261101592)",54.6495,6.72848,0.904399,0.999689
124,"(105.04691756899342, 192.04691548050383)",46.6716,5.91549,0.879125,0.232249
125,"(126.51449594998388, 179.18958331815284)",42.4775,4.71575,0.650576,0.999815
126,"(98.54490826141051, 218.48319101575373)",46.7853,13.9575,0.9512,1.0
127,"(97.19992205379617, 211.43938005784014)",42.1823,11.4804,0.858218,1.0
128,"(106.38129054220508, 220.79132010887034)",47.5934,10.7159,0.886013,0.995828
129,"(95.16835783286852, 224.27235265916633)",45.0169,11.8472,0.932942,0.999945
130,"(102.69265655549124, 213.3298408575425)",47.611,10.0119,0.933679,0.99384
131,"(96.0580066026155, 254.76114310657348)",43.79,26.8466,0.956259,0.985423
132,"(110.35158455764464, 258.84038878872)",43.4043,11.5193,0.949978,1.0
133,"(115.8593868492585, 277.79292400062906)",43.756,9.20683,0.908971,0.300417
134,"(105.32922639730444, 306.6966102960348)",53.7414,16.6096,0.978934,0.999833
135,"(93.90601694787773, 293.6812970072999)",45.0007,16.0893,0.959894,0.997118
136,"(103.04015570488089, 291.77415662232625)",37.9685,18.4989,0.96011,0.653124
137,"(95.89686593789746, 315.7348614673527)",51.9095,11.4912,0.957907,0.99966
138,"(102.03045157879195, 295.096703674589)",48.6104,12.9514,0.918548,0.607632
139,"(110.31574422846441, 314.04687656424227)",47.2002,4.60229,0.363999,0.994737
140,"(108.56120779800487, 337.4309941291328)",51.9234,25.621,0.958743,0.999676
141,"(113.38266919896105, 367.6859742830943)",54.8936,21.6207,0.962484,0.999994
142,"(100.65057668713875, 337.01548477444646)",47.8584,8.86527,0.928974,0.999954
143,"(99.63902029702133, 351.8044097234342)",52.0155,10.4488,0.946999,0.999999
144,"(107.74723651430031, 368.16070978459226)",45.6609,14.0726,0.957443,0.99939
145,"(111.02328877653773, 330.4942803273432)",45.1033,12.5119,0.391631,0.228271
146,"(109.11200673055671, 341.7529913706542)",48.9178,11.5343,0.947536,0.934265
147,"(83.24360874276816, 345.2129110233809)",43.0021,11.6024,0.903831,0.99419
148,"(97.18172034970735, 380.57132350081037)",50.6853,26.5323,0.981797,0.99995
149,"(104.80402066572347, 373.64050008124457)",50.7747,16.5648,0.845223,0.990749
150,"(105.11509178434586, 385.3589219825648)",52.4857,17.1382,0.95763,0.999982
151,"(114.59821138124775, 379.8064341932748)",53.268,16.3885,0.956573,0.999961
152,"(92.21429158197465, 374.7417975328129)",47.3108,15.4951,0.895932,1.0
153,"(112.63104496983362, 397.37000687100254)",44.5923,13.8509,0.927988,0.993885
154,"(118.06880556111534, 384.34942393227675)",51.1967,11.3801,0.87672,0.993396
155,"(104.50142523566976, 416.2408089092303)",35.5238,22.0629,0.981311,0.99229
156,"(110.46444248058364, 421.0560915154881)",48.0762,18.4848,0.979864,1.0
157,"(102.58907346152293, 410.53252374900677)",40.1407,13.3183,0.91014,0.999965
158,"(100.17477693862767, 422.8071723490797)",41.9579,8.59467,0.893559,0.999862
159,"(99.82652697760626, 431.9423616322582)",42.323,11.7714,0.942056,0.998615
160,"(110.19111544436903, 403.5117271053348)",37.2057,13.4164,0.724174,0.981564
161,"(94.05444596461004, 458.57341644925555)",46.0655,4.60652,0.855892,0.989891
162,"(93.15349979835699, 448.63409374221095)",47.5608,5.03557,0.817512,0.999488
163,"(138.7243122735558, 24.928426675665644)",42.3043,7.93933,0.949193,0.999266
164,"(146.25674965718818, 7.679326575327871)",46.7301,4.43495,0.959638,0.999513
165,"(154.3476754741412, 76.10030401578621)",41.9961,6.99056,0.926298,0.999994
166,"(142.53969185849087, 75.1290661774574)",42.8287,4.23034,0.775575,0.981057
167,"(135.11849932027403, 75.64375537346407)",46.0375,5.01797,0.819409,0.999484
168,"(137.24626932769704, 177.34721546558993)",42.2989,5.65637,0.88358,0.999924
169,"(144.543954059445, 173.8105983861781)",49.1465,5.96717,0.653363,0.991404
170,"(149.62194125500534, 198.9520803859607)",53.4354,8.73916,0.804003,0.999951
171,"(143.2492686619549, 199.5513704960849)",42.7328,4.8067,0.899076,0.840272
172,"(141.15662450446402, 228.0099481624605)",52.0501,10.2435,0.869152,0.959581
173,"(157.11466505854017, 225.55849856299858)",52.0179,9.43692,0.922451,0.999967
174,"(150.9538798038268, 234.51236789834536)",40.4744,11.9649,0.949291,0.324163
175,"(145.07437528720646, 233.8717623682698)",43.2231,8.27744,0.794484,0.999977
176,"(128.49814711222317, 230.02816345423653)",46.1922,8.14278,0.782085,0.260575
177,"(126.6595607580287, 222.19205941393184)",58.894,9.61924,0.781834,0.855295
178,"(139.38072712245258, 256.4370695092316)",48.3112,10.2924,0.932406,0.648793
179,"(141.80578343525136, 274.0858871638153)",49.3571,5.38736,0.679237,0.926157
180,"(153.0773020588068, 264.18046418037346)",45.2572,6.82936,0.862962,0.456488
181,"(156.23820780797843, 297.5081701568671)",41.6706,8.88107,0.956472,0.476423
