,com,perc,snr,r,cnn
334,"(254.27926397553395, 269.4276189224337)",43.5928,19.8866,0.911503,0.995441
335,"(264.7666646204013, 257.1217518343748)",45.4115,9.51281,0.801417,0.991238
336,"(258.1888093875897, 259.7231386732847)",46.7128,12.98,0.947824,0.737361
337,"(255.12103150922414, 278.40989170693155)",46.3279,28.7215,0.952922,0.928743
338,"(249.48015014689176, 280.72981810692244)",46.2108,9.02999,0.889494,1.0
339,"(259.0135088971144, 252.89591644305023)",46.3995,8.74024,0.923687,0.999971
340,"(274.5117431007634, 293.7353429818855)",49.8207,19.5656,0.950524,0.999009
341,"(264.3336484618406, 290.8106492460646)",52.9286,12.5204,0.943476,0.589651
342,"(278.0933012238433, 283.1353372090531)",46.8835,14.165,0.88805,0.999932
343,"(276.2839974425225, 305.5915313136274)",45.9186,11.0806,0.882875,0.999743
344,"(271.9342550186777, 313.33622071777194)",46.8486,14.334,0.945931,0.999941
345,"(278.33533806173506, 299.2205032007134)",51.2937,12.2302,0.939636,0.999401
346,"(264.45748729004845, 295.592830562472)",42.6764,8.61244,0.661664,0.999997
347,"(255.07792453105708, 345.3490107046105)",50.0031,17.8756,0.950713,1.0
348,"(272.74636080631126, 343.0429261381743)",45.9029,14.1907,0.96363,0.987022
349,"(269.7715934023499, 338.7233504183916)",45.1616,13.707,0.962167,0.907113
350,"(273.9500729327404, 349.44449704345067)",51.075,18.8691,0.938194,0.999998
351,"(264.1104519435677, 334.5512781867144)",51.4329,11.9429,0.817709,0.999986
352,"(265.2707819552231, 389.8401885429063)",48.0632,21.3108,0.983892,0.987312
353,"(276.18480596621777, 372.06982960198036)",49.3542,12.3147,0.952312,0.533366
354,"(254.16357126192685, 390.5962541806848)",45.0858,8.5891,0.93319,0.999597
355,"(267.6198934854749, 376.95890115339967)",49.0868,12.3109,0.931339,0.816173
356,"(281.40932272818935, 379.102477446417)",43.0979,10.0172,0.908063,0.404388
357,"(273.2242736772094, 434.103215951742)",47.5594,22.0624,0.979024,0.999211
358,"(257.7893376704934, 430.1920533279873)",42.5229,19.4149,0.969813,0.999247
359,"(263.9191087665733, 414.3512086960266)",47.1349,17.6656,0.970606,0.99944
360,"(258.16061099965566, 422.7825338430771)",40.7473,14.3232,0.960948,0.999994
361,"(273.69780753755117, 427.53616972866945)",42.676,9.51619,0.738983,0.998317
362,"(279.0871078230232, 414.3443834085657)",47.0524,10.4558,0.94856,0.997122
363,"(261.1056914224091, 435.263151061149)",52.6872,8.1765,0.801774,0.81222
364,"(269.3844795976333, 451.7377704841923)",46.3988,17.994,0.980006,0.999998
365,"(256.2849110256514, 463.8040733027928)",44.4935,20.7587,0.955659,0.999999
366,"(262.8445125851552, 457.784387917653)",41.376,15.2735,0.930455,1.0
367,"(271.7184352467862, 456.483144685128)",43.2813,11.1524,0.934059,0.996335
368,"(275.40530814104017, 444.32342080599216)",42.5695,9.22655,0.832754,0.99907
369,"(295.26399204340765, 24.54949473069013)",49.0135,6.14857,0.938749,0.999802
370,"(314.42853370606355, 11.400657930723915)",42.4252,5.45841,0.878494,0.996704
371,"(303.4016038156483, 14.012923062508754)",43.731,5.80171,0.901679,0.769039
372,"(297.42828734214464, 18.50660748696161)",44.1148,6.35682,0.918451,0.999999
373,"(306.1262747725809, 61.43575528732435)",46.024,7.49549,0.955463,0.999667
374,"(312.8986207619835, 75.73617991647733)",46.511,4.93275,0.931331,0.999992
375,"(292.18468177942447, 66.15984960831426)",48.5871,7.60497,0.971105,0.2739
376,"(306.93515283956486, 71.51367337911964)",51.9647,6.44583,0.89189,0.954688
377,"(314.92651096423845, 65.7898857264927)",53.4901,4.63711,0.917136,0.252847
378,"(302.5780826387569, 54.79328394923048)",48.7,5.10862,0.839441,0.999883
379,"(309.90657804843545, 108.94583196848961)",55.3103,5.38867,0.79995,0.999964
380,"(301.2492942741163, 104.90327882852401)",50.0418,4.95221,0.917801,0.999999
381,"(306.21249562462697, 114.29589935351422)",40.8584,4.47123,0.951863,0.998065
382,"(314.3183170231105, 105.8397806620444)",47.3726,7.3768,0.926114,0.999941
383,"(295.3119452420112, 121.04350705877575)",45.214,4.86026,0.854932,0.999861
384,"(296.4060848987476, 154.303645212532)",50.7318,6.13521,0.962361,0.999862
385,"(295.7100042096752, 143.663436976755)",49.2323,7.20343,0.924364,0.999918
386,"(319.18349786665146, 185.97272585254532)",49.9374,7.49508,0.915707,0.99983
387,"(292.6536845636006, 179.13343416637505)",46.5645,8.20312,0.893476,0.991773
388,"(298.01254357344163, 172.3835235719693)",45.5793,9.07897,0.923538,0.280562
389,"(296.4534861351299, 216.09144665005175)",48.8663,9.36857,0.910608,0.99914
390,"(283.2090078414875, 213.06089030028517)",49.2892,7.50514,0.922306,0.980401
391,"(315.1926601132466, 226.06475479834498)",49.2879,6.30203,0.888528,1.0
392,"(283.11446576728554, 220.25687025870593)",49.7677,5.95667,0.790603,0.932885
393,"(294.63993385496036, 246.43915608825827)",46.4393,6.50435,0.927379,0.390477
394,"(301.8354555411504, 276.72196131310847)",45.8523,12.5256,0.966314,0.999541
395,"(293.084268740321, 260.22398826753215)",49.9531,13.8301,0.971645,0.999614
396,"(300.4800941071872, 263.0086977874668)",56.1322,11.4909,0.924452,0.99988
397,"(291.83447221910563, 274.68473862592515)",47.6617,6.76109,0.850522,0.978186
398,"(294.2280343057411, 307.5822208171167)",46.6748,18.4461,0.959672,0.99999
399,"(296.3265848484011, 321.8421123045079)",46.7445,14.0236,0.939968,0.999988
400,"(291.6862451264189, 312.3353916789143)",46.2373,14.6607,0.962248,0.998817
401,"(306.00788449981775, 309.6585999637521)",52.0296,7.45817,0.933646,0.997716
402,"(307.10932705796347, 296.33527900084556)",46.5727,10.602,0.963226,0.582502
403,"(317.5927200673529, 310.70816930085033)",47.8792,14.2101,0.956141,0.999947
404,"(303.53637557258617, 297.9200498617019)",49.3023,9.45768,0.891651,0.543526
405,"(292.3626434439196, 319.75447535111664)",45.3082,13.3366,0.918596,0.999164
406,"(301.09317290104906, 336.4396876904735)",46.0224,25.4315,0.972781,0.999995
407,"(308.66337755269063, 342.6642875278553)",46.6829,18.7485,0.954962,0.999998
408,"(306.92159800601235, 352.45104370769457)",45.9138,12.8668,0.934063,0.999695
409,"(294.56644985301006, 338.71571248438005)",44.1705,18.5843,0.951792,0.999973
410,"(293.69910371203343, 344.5857392915857)",46.7491,13.2328,0.914224,0.994951
411,"(313.7134701545634, 348.96653332414667)",47.4362,17.0019,0.928195,1.0
412,"(303.8440748485209, 359.0088342772324)",48.6218,12.4433,0.961068,0.997463
413,"(283.34692439523354, 339.4823060661997)",47.6416,12.6036,0.926388,0.999948
414,"(306.8142624753568, 383.9424759686148)",51.5459,12.249,0.903845,0.999694
415,"(297.7070288749354, 397.5928662273974)",56.0339,14.957,0.909523,0.95974
416,"(308.81466479665187, 397.38090633125034)",50.1466,18.23,0.931046,0.999407
417,"(306.415186626987, 372.03233099024357)",52.5006,15.3582,0.908897,0.996465
418,"(314.92497064189826, 381.61996198246345)",50.4459,19.0276,0.942323,0.999997
419,"(291.6860821894719, 394.1576393657646)",45.7646,13.2617,0.96105,0.999796
420,"(298.7931795718773, 387.0246708384551)",46.9011,10.7307,0.948546,0.881008
421,"(313.8613728721412, 425.1093036742395)",49.1661,11.8145,0.949158,0.999977
422,"(293.6867060694636, 434.6695091361082)",54.9082,17.4493,0.932595,0.999996
423,"(294.9159324086204, 415.89132815444975)",44.3292,20.1252,0.972655,0.999123
424,"(308.5829398337847, 413.5182425145365)",48.8404,18.9147,0.908062,0.992479
425,"(299.26177824008295, 422.1915711894376)",48.4947,17.3016,0.88162,0.999997
426,"(309.27856639479114, 430.5972282203431)",45.8819,16.694,0.938512,1.0
427,"(302.12026733402234, 412.84642899952513)",39.5022,13.6077,0.809894,0.997582
428,"(301.37535420121344, 429.20901874837097)",48.2481,19.2047,0.957505,0.999995
429,"(316.3006899357557, 458.0535189724094)",55.5586,16.0674,0.904535,0.999028
430,"(294.37253622122216, 464.549737526533)",52.7243,16.6375,0.942389,0.999999
431,"(296.0259750965632, 454.978483502749)",51.7642,11.9414,0.936393,0.9999
432,"(302.9933587694609, 459.45013672805806)",43.4261,6.57165,0.848857,0.9999
433,"(315.99164746200375, 445.24331559594407)",42.3494,9.5596,0.86627,0.986705
434,"(314.30152237694597, 466.0289353932734)",52.3948,5.4089,0.921773,0.948708
435,"(354.1178951382681, 2.8508559247271603)",50.6965,4.20871,0.958973,0.375104
436,"(337.3826250321254, 112.8166391490302)",46.4526,11.4307,0.944516,0.995132
437,"(337.07813496598254, 119.07657653925162)",46.3912,8.36436,0.971767,0.363108
438,"(333.9322427073426, 95.88262934756816)",47.4802,4.14852,0.854572,0.957783
439,"(336.7838902216548, 139.04313569009474)",47.1429,5.39892,0.806983,0.988592
440,"(355.22040896262484, 148.41293722506967)",51.9354,10.1536,0.964711,0.955237
441,"(337.1289689728246, 178.63463952235608)",51.9884,6.00637,0.920884,0.887952
442,"(347.9984855791216, 192.7582434141304)",42.1266,7.22527,0.950079,0.999934
443,"(356.50502063508964, 192.55582771113004)",48.675,5.31706,0.922996,0.873573
444,"(353.71932418110504, 182.2510873475143)",54.4611,5.40307,0.873343,0.350091
445,"(336.03269312258425, 220.2076291153431)",43.218,10.6276,0.932198,0.751416
446,"(333.4926638788728, 236.32649777762822)",49.8781,6.10825,0.851552,0.999999
447,"(340.89199756802367, 224.4253511294342)",50.5384,7.42905,0.908172,0.588008
448,"(352.62562251873294, 218.04349564082852)",50.5527,5.00968,0.883945,0.875975
449,"(350.4159062482265, 232.18735887617973)",45.7121,14.4962,0.947648,0.996164
450,"(341.9252157710293, 216.7279185065885)",50.4963,4.4066,0.582506,0.953086
451,"(338.81009872591795, 258.56254068871914)",29.779,13.0176,0.960132,0.999964
452,"(348.16978918129803, 272.59748759661227)",47.8761,21.8074,0.937069,0.994558
453,"(348.5608348568274, 260.6465921271735)",42.6622,15.1399,0.938889,0.999894
454,"(339.99974222335874, 279.98043736608963)",49.0793,11.7016,0.95301,0.405409
455,"(355.14781643465204, 261.7824936182977)",42.9005,8.22843,0.873995,1.0
456,"(362.2998130335243, 260.17178587479026)",39.2994,5.5212,0.904507,0.961461
457,"(365.6403211108035, 251.09912395830372)",48.7024,7.87801,0.678664,0.935085
458,"(369.7514842098254, 320.2470800317264)",44.6722,11.3065,0.862443,0.827797
459,"(349.25143682001243, 305.14228586759083)",43.5318,11.236,0.976766,0.848357
460,"(365.2132476146384, 292.6837501578283)",42.753,12.2165,0.952138,0.999999
461,"(332.82100272366705, 301.09762361961083)",45.4182,8.69711,0.932244,0.491984
462,"(367.8122985197357, 306.3490860965648)",47.544,12.3583,0.899074,0.99997
463,"(365.40705018937274, 320.8471644399463)",49.6943,16.5221,0.930749,0.999889
464,"(337.1013142699503, 312.3536299118661)",48.8466,9.39735,0.963453,0.995237
465,"(340.2943206110282, 303.4845426163708)",49.9129,8.57353,0.850948,0.999997
466,"(352.08012446446367, 307.94577655688727)",48.6029,7.67307,0.916753,0.898964
467,"(339.06372889113453, 356.56339929369466)",51.0568,11.6153,0.957549,0.998982
468,"(338.50543941329244, 341.93242749000194)",40.1985,15.3026,0.967671,0.642273
469,"(336.76425600542865, 348.0711216579879)",43.0659,12.2402,0.891712,0.838655
470,"(344.04293267562156, 367.3672323176158)",49.5975,18.07,0.939255,0.450629
471,"(342.24773874506036, 361.2378716966616)",50.2674,22.0218,0.938403,0.999999
472,"(366.7667128756078, 361.9105839967802)",40.5173,8.3452,0.849644,0.997863
473,"(328.26585726458785, 355.4005455025373)",34.9673,17.4167,0.955138,0.98793
474,"(354.76606659808675, 354.7572006355835)",42.3851,10.5636,0.938802,0.537151
475,"(346.3381202866332, 354.9832491215047)",53.6777,11.3041,0.91533,0.327636
476,"(345.0580642144411, 397.2337233395534)",46.4771,31.8766,0.971748,0.999341
477,"(334.2565994559275, 375.11341396522755)",47.9647,29.1195,0.972855,0.999996
478,"(356.5600329685752, 378.13952390529585)",45.801,17.7133,0.922964,0.994266
479,"(340.0345062029059, 365.6299356912737)",47.3262,11.3224,0.94334,0.7793
480,"(358.0984280485652, 386.2033718380172)",44.2128,16.3221,0.934072,0.998603
481,"(347.6240147434825, 370.695690180413)",49.9829,17.2037,0.939476,0.997513
482,"(345.9984546001738, 376.41196712500954)",47.1227,13.4526,0.883109,0.999132
483,"(365.7717350494797, 398.7132297419895)",51.9507,12.0868,0.917291,0.99476
484,"(364.3016050106887, 388.8934643344094)",48.9464,12.5686,0.951032,0.678099
485,"(353.5050293509325, 393.09931843564664)",50.5518,11.4599,0.274257,0.999972
486,"(365.6525780264562, 379.23370821547803)",40.5253,9.18966,0.91205,0.978963
487,"(337.8129958796464, 379.56014049451176)",45.1024,11.4627,0.771621,0.998736
488,"(358.1667926870004, 425.35040051269897)",45.0835,19.9354,0.964677,0.999817
489,"(333.08352086990294, 429.5547391500044)",53.3136,19.9084,0.956375,0.999976
490,"(348.45834485626824, 413.66383640856134)",49.2088,14.6931,0.718825,0.999872
491,"(334.8573375704242, 420.85915651722877)",44.6924,10.9182,0.225395,0.657093
492,"(338.33847593554873, 431.55091894681124)",48.6417,14.8098,0.949178,0.999999
493,"(347.55856803935984, 421.58456875323816)",45.8823,11.0117,0.890579,0.999938
494,"(335.2729355047179, 452.32403283029015)",42.7008,31.1774,0.97398,0.983788
495,"(352.5500210337187, 453.32393495496973)",25.2592,13.0714,0.870038,0.870955
496,"(354.9961176869088, 457.14287590037674)",27.5626,24.1119,0.968909,0.99953
497,"(349.7853964621243, 453.22091278415076)",50.0698,21.0317,0.962138,0.999909
498,"(342.77285425929625, 475.25976957297553)",47.7141,9.73358,0.923378,0.99994
499,"(379.1737418979826, 9.652137825756833)",46.3897,4.48207,0.927033,0.999996
500,"(370.58492860037313, 7.155789132605794)",46.7738,5.18501,0.865523,0.51201
501,"(382.4179733945129, 71.87376930038522)",49.3363,6.84434,0.945403,1.0
502,"(388.99448482204554, 56.32663879982013)",46.3756,4.30825,0.874294,0.95711
503,"(373.3302372600212, 94.34985080179784)",49.9207,5.04648,0.914532,0.995884
504,"(396.31441404417325, 146.55935668151514)",50.1649,5.4309,0.792763,0.90618
505,"(363.14219290357136, 151.7867385070008)",36.651,10.1916,0.849466,0.997505
506,"(399.23636627558386, 149.85280840733938)",42.0691,5.93375,0.898653,0.999978
507,"(383.87160885620955, 134.62564960442708)",45.618,5.64802,0.91927,0.967227
508,"(388.9236793190766, 166.03138476063282)",40.8779,5.06648,0.918239,0.958598
509,"(394.9287887153587, 141.90858407392304)",50.3017,10.8858,0.951839,0.901844
510,"(386.40342901098995, 190.1634260808635)",46.6296,10.5658,0.928098,0.999145
511,"(376.2093264056801, 180.17098367731649)",45.6214,9.18189,0.963581,0.998573
512,"(381.6240338857208, 197.96841660319572)",41.7285,8.05552,0.829127,0.920139
513,"(395.3827725907219, 224.48060034041262)",46.5533,16.0621,0.953324,0.999894
514,"(387.63393946814324, 212.80753838149317)",50.612,8.39898,0.856314,0.732798
515,"(380.8278413534719, 222.49441163050736)",47.6749,8.65422,0.943217,0.900283
516,"(372.67983519473154, 230.3277865338718)",47.1985,5.46265,0.93194,0.557653
517,"(393.81873196097365, 229.40987541914942)",45.7793,9.37648,0.854559,0.937928
518,"(385.1566450822264, 245.3612534789596)",45.686,9.58755,0.942441,0.988218
519,"(385.8907736174986, 252.70464410355152)",53.7187,12.9734,0.959006,1.0
520,"(393.0436065671129, 275.4568551649817)",47.7813,15.6439,0.972522,0.982417
521,"(379.57138890992076, 264.7103510606512)",49.285,13.1386,0.975916,0.288382
522,"(377.90439455483175, 278.891555643537)",44.7968,9.98484,0.967196,0.331571
523,"(395.89782107802455, 267.931265118141)",45.3673,10.7147,0.893159,0.999982
524,"(398.45216511717143, 276.4561763691281)",51.3852,10.7877,0.854099,0.993601
525,"(392.3515735789936, 304.9014360041758)",43.9113,16.5569,0.968543,0.992306
526,"(397.87796926216333, 314.858220560379)",46.0968,18.0022,0.97852,0.992328
527,"(372.8384405993299, 313.88181523111314)",38.3944,12.2954,0.965944,0.998642
528,"(383.38058363583923, 310.5210951837582)",42.2517,16.3174,0.953839,0.999919
529,"(378.4874962979395, 294.57291645258056)",42.5598,13.9928,0.964219,1.0
530,"(375.50591663810144, 304.5193339918025)",53.2459,12.4239,0.950831,0.998056
531,"(386.87850759054294, 302.5506251820837)",42.2125,10.8665,0.963639,0.964962
532,"(391.28352528877656, 346.59685356629836)",47.5445,20.4104,0.979752,0.902757
533,"(371.06983722003207, 334.05076795887635)",53.9569,12.3298,0.788206,0.688543
534,"(395.9886807148592, 344.5215469524113)",43.894,16.4713,0.953043,0.958182
535,"(370.6896458306462, 348.26957098167986)",39.8163,10.3402,0.972574,0.996949
536,"(396.8465235987245, 358.54945669488484)",44.367,11.2308,0.874517,0.999734
537,"(375.0398180813147, 363.28130376505624)",53.6199,12.2581,0.944128,0.980798
538,"(377.54491360877665, 331.66308165124906)",43.834,6.25114,0.88005,0.985012
539,"(391.99989335500794, 388.9868061542245)",44.9315,18.4437,0.965441,0.999976
540,"(383.9317015073962, 386.7163999545071)",48.5867,17.8463,0.963732,0.999831
541,"(390.9464222089551, 381.0926516837463)",48.0429,22.5703,0.975036,0.999998
542,"(376.3918308880616, 396.58567879116583)",44.0473,13.7325,0.965876,0.999999
543,"(383.33253333357953, 402.09814908871414)",45.5519,6.82254,0.858172,0.604686
544,"(394.73172440817933, 395.14418593434755)",49.8705,15.7097,0.931384,0.998558
545,"(390.9423640343066, 372.8252403754299)",43.4689,15.8941,0.953653,0.999795
546,"(373.89948962430054, 380.3445511806468)",46.9028,9.77071,0.791244,0.99839
547,"(399.04385993738515, 380.9696043605881)",42.7606,13.6049,0.792917,0.97818
548,"(402.5551515623465, 385.4633047827926)",51.8949,22.143,0.966741,0.999992
549,"(388.88375934027204, 418.56942341937)",40.4134,27.9802,0.966232,0.997591
550,"(395.98200094115185, 411.178975054417)",37.0732,25.4986,0.967086,0.902834
551,"(389.0259263556641, 425.14766431860977)",35.4778,26.6746,0.963189,0.999615
552,"(376.0898969698752, 410.2769928841922)",46.1818,17.6028,0.97982,0.999771
553,"(381.39346526390483, 402.4904878216251)",49.2453,13.9044,0.908148,0.999974
554,"(376.2338315677981, 431.28253055792936)",35.465,14.1181,0.934121,0.999983
555,"(381.1368880702637, 414.4274649810892)",51.4407,8.2281,0.767159,0.907734
556,"(386.59043635069713, 454.8112958463351)",48.2317,15.9489,0.970844,0.999753
557,"(382.66448571268074, 469.5327700332363)",48.7242,8.51507,0.922118,0.998854
558,"(383.3437118613889, 446.98494836403074)",43.0027,15.0719,0.9718,0.999968
559,"(373.860205406284, 462.2308094532269)",49.9088,15.9233,0.97409,0.999991
560,"(371.3107959070092, 456.0696863416118)",50.0937,11.3423,0.930986,0.999753
561,"(377.5510463637642, 475.2256405505977)",47.5268,9.74533,0.971243,0.996237
562,"(393.77954575681815, 459.83063435287295)",46.3843,7.04345,0.938552,0.983978
563,"(394.8239718022865, 445.24384062507056)",45.5271,7.88802,0.817438,0.96985
564,"(425.80937343909017, 4.519026240674027)",53.4614,6.02377,0.97113,0.738515
565,"(431.0516409465301, 17.115320763191598)",51.4959,4.49391,0.961541,0.99987
566,"(422.4584256871505, 69.5765134919851)",43.7864,4.60401,0.898963,0.999798
567,"(422.6954894248508, 108.0251415197229)",48.6777,5.51459,0.963034,0.999966
568,"(428.411933181798, 117.80795422674639)",47.6422,4.27762,0.872502,0.398566
569,"(433.7254736298342, 106.03348123384181)",44.0023,5.80845,0.938977,0.589407
570,"(413.19451898901764, 135.3489612361838)",41.9994,8.9992,0.922802,0.998918
571,"(434.3726392674466, 150.87775855595947)",55.1607,4.74601,0.799164,0.900156
572,"(416.0034461521796, 160.60360962393196)",52.8817,6.69066,0.909797,0.928177
573,"(410.8238337154409, 199.53222541008404)",50.7744,5.87676,0.907391,0.914895
574,"(425.1896954991858, 191.8016049469484)",52.4785,11.6063,0.95706,0.999998
575,"(436.4554894270111, 180.14112564414648)",45.7552,4.19615,0.874899,0.935475
576,"(434.3812565343009, 187.57109439130122)",43.7853,4.43644,0.843768,0.999739
577,"(431.3126663657067, 196.6191537692957)",51.8378,6.38856,0.904961,0.358657
578,"(416.79373874777247, 213.1127401239741)",46.3416,12.0874,0.95236,0.9999
579,"(423.5314627459224, 231.82331515318114)",52.1372,10.2936,0.958639,0.999984
580,"(427.8090418121758, 221.63168552801883)",53.1899,12.4391,0.94932,0.999998
581,"(411.1449407945638, 222.96395943052454)",52.9959,9.43857,0.947792,0.394378
582,"(419.2366207587008, 225.1216254475846)",47.1151,9.12544,0.667516,0.40991
583,"(427.7489906709349, 215.80900534494955)",46.9323,7.44613,0.933459,0.999708
584,"(422.61618665868656, 261.3734706590335)",47.5055,20.6929,0.982303,0.936737
585,"(414.00357869229106, 265.4606625145172)",56.2785,19.0115,0.974075,0.999801
586,"(435.1479316798041, 274.46405525389196)",50.3701,9.33612,0.944347,0.999984
587,"(429.0066935623136, 264.2399653471604)",48.4526,10.034,0.962155,0.926173
588,"(417.59890487916687, 255.03491095521642)",47.7334,13.9606,0.92473,0.999672
589,"(428.9269208362275, 269.48605353563585)",44.6831,13.8079,0.386209,0.999125
590,"(427.0858689423591, 277.1617366792543)",46.0606,12.4573,0.935107,0.96237
591,"(415.6956522223765, 297.0362235283927)",39.5159,7.30106,0.944481,0.999957
592,"(431.34812278200764, 315.5987785440373)",53.1799,15.3267,0.986482,0.988888
593,"(413.25280326768734, 311.69767139238564)",48.4161,12.5979,0.948296,0.999519
594,"(423.0609679911889, 297.59799522643914)",46.3692,11.0407,0.913091,1.0
595,"(421.7565594659751, 310.37456063643884)",44.0061,11.9722,0.916933,0.999991
596,"(432.42006594506034, 309.53560946341895)",42.3346,12.1087,0.95766,0.999586
597,"(411.229218037736, 301.82474537091423)",39.5641,14.0671,0.96804,0.364657
598,"(422.52985411321816, 315.88048137613407)",45.0439,7.42015,0.889163,0.922951
599,"(411.0408438931136, 295.54077256356237)",41.3975,16.3586,0.976258,0.861181
600,"(422.59261463314505, 337.10546185893867)",47.1013,19.7428,0.978085,0.999517
601,"(428.3335880688399, 344.4895517808857)",49.5587,14.2717,0.976595,0.999975
602,"(429.07090289937287, 333.198033676588)",41.8481,15.7757,0.971702,0.999702
603,"(415.1968807666956, 359.06251757731326)",46.1866,13.6497,0.968492,0.999996
604,"(421.50990820921305, 356.7584326982474)",50.218,12.9897,0.95296,0.999976
605,"(413.01599469782707, 342.32531293692216)",47.5309,12.6218,0.962431,0.999992
606,"(434.96190053002783, 331.39403346866663)",53.6907,9.12261,0.940457,0.714006
607,"(433.6575738830901, 349.6199403233382)",47.4888,16.8896,0.976895,0.953093
608,"(438.01993528678844, 356.2229756329625)",48.6453,9.34522,0.896903,0.999904
609,"(418.5535684078416, 391.7588302502055)",46.4345,22.0501,0.928669,0.999981
610,"(418.61481372497246, 382.6113737424211)",43.3819,26.5911,0.96047,0.999964
611,"(420.62419741329717, 372.5064540644188)",49.133,20.4824,0.963286,0.999989
612,"(435.0575072971448, 395.80454329242866)",46.3837,19.078,0.964495,0.999969
613,"(425.4766756770085, 395.0226383503659)",44.8689,19.1744,0.924129,0.99991
614,"(433.9487172762589, 383.07049051504254)",50.7692,15.7103,0.959655,0.998006
615,"(446.9739935719856, 385.13589704902006)",45.0893,14.0382,0.914422,0.889782
616,"(438.3226804283533, 390.71140421578565)",47.7477,15.2199,0.958777,0.999796
617,"(402.8821278013619, 375.9919398398759)",48.2976,9.62425,0.887689,0.842861
618,"(423.7886901834731, 378.52298055980646)",39.4347,24.0475,0.970164,0.993553
619,"(431.1238864047164, 412.03031589370215)",38.3,24.2584,0.958212,0.989084
620,"(429.0160746395455, 434.31598951500393)",49.8669,28.3975,0.966701,0.999997
621,"(434.0186277046539, 422.86007027060907)",45.0329,22.2543,0.967195,0.999907
622,"(437.698987330513, 412.231762571771)",41.8554,22.5918,0.95494,0.999754
623,"(422.02853139389356, 431.302162684401)",44.8346,17.1696,0.93011,0.999826
624,"(435.26285529953736, 430.9669370570125)",39.9476,12.6532,0.910816,0.916861
625,"(426.3212860930143, 402.78658452330257)",45.9692,11.4248,0.798563,0.61277
626,"(415.197895897199, 411.16834550536055)",52.3654,18.187,0.965543,0.298631
627,"(427.3744534777372, 422.89757333984693)",48.4319,8.85241,0.832272,0.999959
628,"(414.2589588129331, 460.9248245215283)",51.8335,14.8144,0.958043,0.999973
629,"(433.21485579675874, 462.5829315296431)",47.501,12.5961,0.959043,0.999324
630,"(421.76157932458887, 452.4268529368766)",47.3294,11.828,0.928432,0.945265
631,"(415.5262138405962, 450.9673133069434)",54.1691,9.55626,0.794538,0.997965
632,"(404.2225500237088, 467.41259977203424)",46.609,6.50666,0.836779,0.995741
633,"(438.8182291622384, 468.59103362446416)",47.4262,5.62741,0.855906,0.91353
634,"(412.79638894018, 470.13995241053533)",47.5879,6.75539,0.822342,0.998888
635,"(433.84897091948994, 442.12387778853395)",49.6228,10.5049,0.895236,0.986036
636,"(463.79777738228375, 4.591144662839368)",48.5183,4.1647,0.872125,0.580866
637,"(466.48226225956114, 38.188054948957536)",47.13,5.4282,0.855065,0.700066
638,"(464.7162488524862, 62.15775971292541)",47.9726,8.19853,0.981154,0.991021
639,"(483.6480253714557, 69.67264407294061)",46.4981,7.39339,0.965847,0.957782
640,"(477.55713390612107, 60.514686614819674)",48.1836,5.47046,0.924384,0.998168
641,"(482.79309067051366, 59.59712339238739)",52.512,4.50373,0.878762,0.761346
642,"(472.61975449160747, 100.94758216536655)",41.5699,11.0248,0.964546,0.999997
643,"(464.21797593871764, 115.8502300284846)",53.6917,8.52708,0.956238,0.924508
644,"(478.0252663676104, 104.95617742012148)",44.5451,9.15038,0.975243,0.999941
645,"(458.10666438714003, 118.1188097499045)",43.3612,6.3716,0.917213,0.704444
646,"(484.6201794277563, 104.74919695325941)",41.7354,6.32196,0.948685,0.441529
647,"(452.9891314843028, 117.84826660908345)",47.827,4.23017,0.915553,0.984475
648,"(460.9889532761543, 146.782904445095)",52.517,12.4021,0.970066,1.0
649,"(484.667282530995, 160.9153587542233)",48.941,8.06464,0.933683,0.66457
650,"(479.29559448354087, 133.735826850956)",43.9981,6.84195,0.903383,0.959624
651,"(475.2658855883445, 140.99130360567375)",48.8967,4.41305,0.857778,0.999118
652,"(475.1228810057384, 187.70052549952337)",41.3901,10.7607,0.978866,0.999797
653,"(453.53240785860174, 189.30392321360821)",50.8875,12.5661,0.965062,0.999914
654,"(459.65066954455716, 190.96994189220942)",53.6331,13.2006,0.961509,0.950113
655,"(453.5533095378318, 180.66249889715857)",48.4007,6.68761,0.890593,0.997254
656,"(484.61706463892676, 196.52881236856064)",45.8822,5.92188,0.917977,0.530243
657,"(465.32820068919114, 193.32815867182003)",52.4714,4.35675,0.880158,0.973906
658,"(478.78962793958374, 193.14852737828897)",52.2633,8.99444,0.886186,0.250308
659,"(482.6469882409964, 190.10794098501734)",48.8089,6.59146,0.929528,0.883381
660,"(473.48265457035734, 217.33395953521904)",48.4206,15.4172,0.971793,0.905066
661,"(466.90422003156505, 222.89445878176014)",47.9669,13.2335,0.931224,0.980652
662,"(459.95296196921726, 234.62050114889186)",42.9709,10.4047,0.931703,0.260886
663,"(458.8502425474155, 216.16974049815263)",45.8524,7.15257,0.94124,0.777349
664,"(483.5132155857712, 231.069147683331)",46.4099,7.30149,0.938705,0.897801
665,"(481.52787578865895, 219.10540738868778)",47.8026,7.77741,0.884444,0.473609
666,"(463.1399865963922, 240.76679031213615)",50.2741,8.11315,0.931867,0.660455
667,"(461.96607214247535, 229.10661814919754)",49.5203,15.651,0.942978,0.910664
668,"(481.7912513248002, 252.51334420249722)",50.5117,15.5751,0.956823,0.983771
