,2020-08-18_1_1_0,2020-08-19_1_1_0,2020-08-20_1_1_0,2020-08-21_1_1_0,2020-08-24_1_1_0,2020-08-27_1_1_0,2020-08-30_1_1_0,2020-09-02_1_1_1,2020-09-05_1_1_0,2020-09-08_1_1_0,2020-09-11_1_1_0
112,794,659,-1,1084,847,-1,-1,-1,-1,-1,-1
113,800,675,593,898,914,546,563,325,-1,428,-1
114,812,-1,-1,-1,767,-1,144,-1,549,58,75
115,815,707,747,-1,342,565,894,160,499,-1,699
116,829,726,576,1040,848,45,138,-1,717,828,66
117,841,948,965,1119,1224,836,948,-1,285,286,-1
118,852,890,952,889,1083,504,-1,750,-1,819,582
119,854,717,681,992,1034,579,922,560,725,273,303
120,857,802,732,768,990,193,355,582,-1,885,791
121,860,697,729,349,884,558,275,159,616,839,-1
122,863,261,911,920,-1,154,-1,-1,225,-1,180
123,868,624,591,830,745,519,162,-1,648,525,741
124,872,713,20,15,1212,-1,-1,-1,-1,-1,-1
125,878,580,1021,1008,991,-1,-1,-1,-1,-1,-1
126,879,674,359,750,910,590,-1,-1,-1,-1,706
127,880,922,-1,1113,809,-1,-1,-1,-1,-1,-1
128,881,721,57,83,864,-1,-1,-1,-1,-1,-1
129,886,788,701,862,476,-1,790,564,754,316,634
130,895,754,-1,-1,-1,161,896,701,528,717,193
131,902,711,85,120,845,-1,-1,-1,-1,-1,-1
132,906,731,677,760,861,498,387,645,293,613,691
133,909,-1,692,430,947,748,374,615,703,733,246
134,921,660,78,947,135,-1,-1,-1,-1,-1,-1
135,927,774,808,852,851,-1,-1,-1,-1,-1,-1
136,936,782,580,888,876,-1,-1,-1,-1,-1,-1
137,941,901,478,-1,613,405,795,-1,-1,-1,778
138,947,818,798,431,-1,850,368,529,619,216,-1
139,948,836,188,285,282,529,799,460,669,90,-1
140,951,916,464,633,603,-1,-1,-1,-1,-1,-1
141,954,732,716,980,467,576,-1,507,-1,661,326
142,956,1029,427,1025,559,-1,502,-1,371,-1,-1
143,959,381,904,-1,1124,335,-1,-1,-1,371,-1
144,962,110,97,847,155,-1,-1,-1,-1,-1,-1
145,963,791,847,307,934,813,-1,-1,668,636,145
146,972,712,448,620,590,801,-1,-1,815,-1,-1
147,977,323,733,-1,-1,638,390,598,-1,-1,262
148,984,775,712,878,1218,607,290,-1,632,696,191
149,986,984,672,1192,885,602,383,217,562,297,254
150,989,723,704,-1,1049,815,-1,-1,340,626,-1
151,991,133,-1,903,184,736,1162,47,590,707,621
152,993,-1,614,932,-1,588,-1,312,-1,-1,666
153,999,-1,756,983,937,510,370,-1,-1,-1,571
154,1005,-1,-1,1203,-1,655,-1,-1,168,787,-1
155,1022,845,690,-1,1008,869,225,-1,177,789,560
156,1034,219,198,1320,288,108,143,120,679,99,85
157,1036,824,686,904,860,701,476,746,352,363,317
158,1040,1019,90,1287,149,-1,-1,-1,-1,-1,-1
159,1042,-1,233,338,1176,-1,-1,-1,-1,-1,-1
160,1074,1080,241,964,1120,764,265,545,-1,-1,173
161,1075,-1,343,500,-1,622,1131,768,342,-1,680
162,1084,259,909,895,747,734,903,618,492,651,181
163,1099,-1,-1,-1,454,627,-1,-1,634,281,-1
164,1100,-1,634,1102,857,666,309,-1,-1,-1,225
165,1108,829,703,1139,1188,564,574,331,690,388,843
166,1115,709,1000,298,1261,114,232,-1,-1,-1,148
167,1136,253,650,1189,-1,149,276,679,217,543,759
168,1192,-1,1002,1312,246,69,-1,673,780,-1,832
169,1209,708,673,337,875,-1,1167,-1,-1,-1,117
170,1217,-1,-1,485,820,550,-1,-1,651,-1,-1
