,spheres,lesion_vol,region,mouse_id,username,spheres_rel,lesion_vol_rel,total_mouse_spheres
46,61.0,0.07504264000000001,hippocampus,41,hheise,13.863636363636363,16.55588615175319,440.0
47,156.0,0.16203771999999997,neocortex,41,hheise,35.45454545454545,35.74871625797893,440.0
48,110.0,0.08664004,other,41,hheise,25.0,19.114501281182832,440.0
49,28.0,0.07513564,striatum,41,hheise,6.363636363636363,16.576403785622585,440.0
50,77.0,0.050459720000000007,thalamus,41,hheise,17.5,11.13240924851982,440.0
51,8.0,0.00395288,white_matter,41,hheise,1.8181818181818181,0.8720832749426477,440.0
